6:46:19 SA  [main] 	Initializing Control Panel
6:46:19 SA  [main] 	Windows Version:  Enterprise  64-bit
6:46:19 SA  [main] 	XAMPP Version: ???
6:46:20 SA  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
6:46:20 SA  [main] 	You are not running with administrator rights! This will work for
6:46:20 SA  [main] 	most application stuff but whenever you do something with services
6:46:20 SA  [main] 	there will be a security dialogue or things will break! So think 
6:46:20 SA  [main] 	about running this application with administrator rights!
6:46:20 SA  [main] 	XAMPP Installation Directory: "c:\users\namtran\downloads\xampp\"
6:46:20 SA  [main] 	Checking for prerequisites
6:46:20 SA  [main] 	All prerequisites found
6:46:20 SA  [main] 	Initializing Modules
6:46:20 SA  [main] 	The FileZilla module is disabled
6:46:20 SA  [main] 	The Mercury module is disabled
6:46:20 SA  [main] 	Starting Check-Timer
6:46:20 SA  [main] 	Control Panel Ready
6:46:24 SA  [main] 	Deinitializing Modules
6:46:24 SA  [main] 	Deinitializing Control Panel

